STATE,COUNTY,LAY2022FAC,LAY2022NUM,BRL2022FAC,BRL2022NUM,DRY2022FAC,DRY2022NUM,COW2022FAC,COW2022NUM,HOG2022FAC,HOG2022NUM
Alabama,Alabama,7.0,1231242.0,1039.0,168578974.0,,,,,4.0,4000.0
Alabama,Autauga,,,1.0,162251.0,,,,,,
Alabama,Baldwin,1.0,175892.0,,,,,,,,
Alabama,Barbour,,,30.0,4867535.0,,,,,,
Alabama,Bibb,,,,,,,,,,
Alabama,Blount,2.0,351783.0,47.0,7625805.0,,,,,,
Alabama,Bullock,,,1.0,162251.0,,,,,,
Alabama,Butler,,,43.0,6976801.0,,,,,,
Alabama,Calhoun,,,11.0,1784763.0,,,,,,
Alabama,Chambers,,,,,,,,,,
Alabama,Cherokee,1.0,175892.0,26.0,4218531.0,,,,,1.0,1000.0
Alabama,Chilton,,,,,,,,,,
Alabama,Choctaw,,,,,,,,,,
Alabama,Clarke,,,,,,,,,,
Alabama,Clay,,,37.0,6003294.0,,,,,,
Alabama,Cleburne,,,20.0,3245024.0,,,,,,
Alabama,Coffee,,,64.0,10384075.0,,,,,,
Alabama,Colbert,,,2.0,324502.0,,,,,,
Alabama,Conecuh,,,1.0,162251.0,,,,,,
Alabama,Coosa,,,,,,,,,,
Alabama,Covington,,,18.0,2920521.0,,,,,,
Alabama,Crenshaw,,,49.0,7950308.0,,,,,,
Alabama,Cullman,2.0,351783.0,75.0,12168838.0,,,,,,
Alabama,Dale,,,55.0,8923815.0,,,,,,
Alabama,Dallas,,,,,,,,,,
Alabama,DeKalb,,,88.0,14278104.0,,,,,1.0,1000.0
Alabama,Elmore,,,,,,,,,,
Alabama,Escambia,,,,,,,,,,
Alabama,Etowah,,,27.0,4380782.0,,,,,,
Alabama,Fayette,,,7.0,1135758.0,,,,,,
Alabama,Franklin,,,27.0,4380782.0,,,,,,
Alabama,Geneva,,,28.0,4543033.0,,,,,,
Alabama,Greene,,,,,,,,,,
Alabama,Hale,,,,,,,,,,
Alabama,Henry,,,11.0,1784763.0,,,,,,
Alabama,Houston,,,4.0,649005.0,,,,,,
Alabama,Jackson,,,15.0,2433768.0,,,,,,
Alabama,Jefferson,,,2.0,324502.0,,,,,,
Alabama,Lamar,,,2.0,324502.0,,,,,,
Alabama,Lauderdale,,,7.0,1135758.0,,,,,,
Alabama,Lawrence,,,21.0,3407275.0,,,,,,
Alabama,Lee,,,,,,,,,,
Alabama,Limestone,,,14.0,2271516.0,,,,,,
Alabama,Lowndes,,,13.0,2109265.0,,,,,,
Alabama,Macon,,,,,,,,,,
Alabama,Madison,,,,,,,,,,
Alabama,Marengo,,,,,,,,,,
Alabama,Marion,,,41.0,6652298.0,,,,,,
Alabama,Marshall,1.0,175892.0,59.0,9572820.0,,,,,,
Alabama,Mobile,,,,,,,,,,
Alabama,Monroe,,,1.0,162251.0,,,,,,
Alabama,Montgomery,,,3.0,486754.0,,,,,,
Alabama,Morgan,,,22.0,3569526.0,,,,,,
Alabama,Perry,,,,,,,,,,
Alabama,Pickens,,,20.0,3245024.0,,,,,1.0,1000.0
Alabama,Pike,,,61.0,9897322.0,,,,,,
Alabama,Randolph,,,36.0,5841042.0,,,,,,
Alabama,Russell,,,3.0,486754.0,,,,,,
Alabama,St.Clair,,,23.0,3731777.0,,,,,,
Alabama,Shelby,,,,,,,,,,
Alabama,Sumter,,,,,,,,,1.0,1000.0
Alabama,Talladega,,,1.0,162251.0,,,,,,
Alabama,Tallapoosa,,,3.0,486754.0,,,,,,
Alabama,Tuscaloosa,,,9.0,1460261.0,,,,,,
Alabama,Walker,,,10.0,1622512.0,,,,,,
Alabama,Washington,,,1.0,162251.0,,,,,,
Alabama,Wilcox,,,,,,,,,,
Alabama,Winston,,,,,,,,,,
Arizona,Arizona,2.0,200000.0,,,39.0,198662.0,6.0,268496.0,2.0,2000.0
Arizona,Apache,,,,,,,,,,
Arizona,Cochise,,,,,1.0,-47.0,,,,
Arizona,Coconino,,,,,,,,,,
Arizona,Gila,,,,,,,,,,
Arizona,Graham,,,,,,,,,,
Arizona,Greenlee,,,,,,,,,,
Arizona,LaPaz,1.0,100000.0,,,1.0,-47.0,,,,
Arizona,Maricopa,1.0,100000.0,,,22.0,102773.0,1.0,-47.0,,
