"State","County","dairyCount","hogCount","broilerCount","layerCount","beefCount","weighted_dairy","weighted_hog","weighted_broiler","weighted_layer","weighted_beef","totalCount","Area..mi.2.","Area_km2","density_per_km2"
"alabama","autauga",0,0,162251,0,0,0,0,356.9522,0,0,356.9522,594.44,1539.5936556,0.231848318354424
"alabama","baldwin",0,0,0,175892,0,0,0,0,703.568,0,703.568,1589.78,4117.5143022,0.170872023352556
"alabama","barbour",0,0,4867535,0,0,0,0,10708.577,0,0,10708.577,884.88,2291.8303512,4.67249986212679
"alabama","bibb",0,0,0,0,0,0,0,0,0,0,0,622.58,1612.4759742,0
"alabama","blount",0,0,7625805,351783,0,0,0,16776.771,1407.132,0,18183.903,644.78,1669.9737522,10.8887358115927
"alabama","bullock",0,0,162251,0,0,0,0,356.9522,0,0,356.9522,622.8,1613.045772,0.221290806619467
"alabama","butler",0,0,6976801,0,0,0,0,15348.9622,0,0,15348.9622,776.83,2011.9819317,7.62877735538663
"alabama","calhoun",0,0,1784763,0,0,0,0,3926.4786,0,0,3926.4786,605.87,1569.1972413,2.50222119734745
"alabama","chambers",0,0,0,0,0,0,0,0,0,0,0,596.53,1545.0067347,0
"alabama","cherokee",0,1000,4218531,175892,0,0,110,9280.7682,703.568,0,10094.3362,553.7,1434.077463,7.03890581955265
"alabama","chilton",0,0,0,0,0,0,0,0,0,0,0,692.85,1794.4745715,0
"alabama","choctaw",0,0,0,0,0,0,0,0,0,0,0,913.5,2365.955865,0
"alabama","clarke",0,0,0,0,0,0,0,0,0,0,0,1238.46,3207.5990154,0
"alabama","clay",0,0,6003294,0,0,0,0,13207.2468,0,0,13207.2468,603.96,1564.2503604,8.44317964332943
"alabama","cleburne",0,0,3245024,0,0,0,0,7139.0528,0,0,7139.0528,560.1,1450.653399,4.92126706828886
"alabama","coffee",0,0,10384075,0,0,0,0,22844.965,0,0,22844.965,678.97,1758.5255103,12.9909773080873
"alabama","colbert",0,0,324502,0,0,0,0,713.9044,0,0,713.9044,592.62,1534.8798738,0.465120699141452
"alabama","conecuh",0,0,162251,0,0,0,0,356.9522,0,0,356.9522,850.16,2201.9058984,0.16211056079162
"alabama","coosa",0,0,0,0,0,0,0,0,0,0,0,650.93,1685.9021907,0
"alabama","covington",0,0,2920521,0,0,0,0,6425.1462,0,0,6425.1462,1030.46,2668.8810954,2.4074306686327
"alabama","crenshaw",0,0,7950308,0,0,0,0,17490.6776,0,0,17490.6776,608.84,1576.8895116,11.09188530416
"alabama","cullman",0,0,12168838,351783,0,0,0,26771.4436,1407.132,0,28178.5756,734.84,1903.2282516,14.8056732429812
"alabama","dale",0,0,8923815,0,0,0,0,19632.393,0,0,19632.393,561.15,1453.3728885,13.5081596439178
"alabama","dallas",0,0,0,0,0,0,0,0,0,0,0,978.69,2534.7973131,0
"alabama","dekalb",0,1000,14278104,0,0,0,110,31411.8288,0,0,31521.8288,777.09,2012.6553291,15.6618117092586
"alabama","elmore",0,0,0,0,0,0,0,0,0,0,0,618.48,1601.8570152,0
"alabama","escambia",0,0,0,0,0,0,0,0,0,0,0,945.08,2447.7477492,0
"alabama","etowah",0,0,4380782,0,0,0,0,9637.7204,0,0,9637.7204,534.99,1385.6187501,6.95553549582412
"alabama","fayette",0,0,1135758,0,0,0,0,2498.6676,0,0,2498.6676,627.66,1625.6331234,1.53704274601274
"alabama","franklin",0,0,4380782,0,0,0,0,9637.7204,0,0,9637.7204,633.82,1641.5874618,5.87097588417997
"alabama","geneva",0,0,4543033,0,0,0,0,9994.6726,0,0,9994.6726,574.41,1487.7161559,6.7181313857237
"alabama","greene",0,0,0,0,0,0,0,0,0,0,0,647.11,1676.0084289,0
"alabama","hale",0,0,0,0,0,0,0,0,0,0,0,643.94,1667.7981606,0
"alabama","henry",0,0,1784763,0,0,0,0,3926.4786,0,0,3926.4786,561.75,1454.9268825,2.69874634060863
"alabama","houston",0,0,649005,0,0,0,0,1427.811,0,0,1427.811,579.82,1501.7280018,0.950778701794598
"alabama","jackson",0,0,2433768,0,0,0,0,5354.2896,0,0,5354.2896,1077.87,2791.6725213,1.91795046129073
"alabama","jefferson",0,0,324502,0,0,0,0,713.9044,0,0,713.9044,1111.28,2878.2040872,0.24803814405479
"alabama","lamar",0,0,324502,0,0,0,0,713.9044,0,0,713.9044,604.85,1566.5554515,0.455716010126821
"alabama","lauderdale",0,0,1135758,0,0,0,0,2498.6676,0,0,2498.6676,667.7,1729.336323,1.44487082516453
"alabama","lawrence",0,0,3407275,0,0,0,0,7496.005,0,0,7496.005,690.68,1788.8542932,4.19039439293333
"alabama","lee",0,0,0,0,0,0,0,0,0,0,0,607.54,1573.5225246,0
"alabama","limestone",0,0,2271516,0,0,0,0,4997.3352,0,0,4997.3352,559.94,1450.2390006,3.44587009308981
"alabama","lowndes",0,0,2109265,0,0,0,0,4640.383,0,0,4640.383,715.91,1854.1997409,2.50263383045649
"alabama","macon",0,0,0,0,0,0,0,0,0,0,0,608.89,1577.0190111,0
